Hostname,Agent UUID,Status,Status Reason,Last Reported,Last User,Operating System,Sysmon,IP Address,Mac Address,Version,Containment Driver,VDI State
DAEXTWSDVM01,b1ef899c-9fb8-4ca8-bd56-2c4a36177398,Offline (3 hours),,2024-07-19 05:15:43 +0000 UTC,Svc_landbroker,Microsoft Windows Server 2019,13.31,172.17.127.91,00:50:56:8f:e7:97,2023-02_138,disabled,None
5CG6381GDW,c8eb8602-7e93-4571-bc2e-74bcc8cf1741,Offline (12 hours),,2024-07-18 20:44:17 +0000 UTC,sauerd,Microsoft Windows 10,13.31,"10.33.128.62, 10.200.0.64","98:e7:f4:2c:3c:b8, b8:8a:60:90:c7:20",2023-02_138,disabled,None
WDVDIAPTSPDM01,65cfed5e-f1be-488f-9825-e657a24cff48,Offline (3 hours),,2024-07-19 05:16:53 +0000 UTC,svc_BISTestCustomDev,Microsoft Windows 10,13.31,172.20.50.41,00:50:56:b2:6d:ee,2023-02_138,disabled,None
WDVDIAPTSPDM13,00f4b6c0-6221-4d2a-81b4-3bb4187ffbf3,Offline (3 hours),,2024-07-19 05:39:49 +0000 UTC,svc_BISTestGISPA,Microsoft Windows 10,13.31,172.20.50.105,00:50:56:b2:07:2c,2023-02_138,disabled,None
WDVDIAPTSPDM03,3a0af052-2f5f-4225-88d5-1805cc0e3aa8,Offline (3 hours),,2024-07-19 05:42:57 +0000 UTC,,Microsoft Windows 10,13.31,172.20.50.98,00:50:56:b2:56:63,2023-02_138,disabled,None
5CG80404Y2,4df00df9-7975-45d0-82d6-ac0c445d059c,Offline (1 day),,2024-07-17 21:45:08 +0000 UTC,penningt,Microsoft Windows 10,13.31,10.65.18.22,a0:88:69:da:fc:e6,2023-02_138,disabled,None
VDIFVMDSTPDM13,ac947ead-f669-4a06-992c-0266ba80039c,Offline (3 hours),,2024-07-19 05:20:44 +0000 UTC,martinr,Microsoft Windows 10,13.31,172.20.50.193,00:50:56:8f:9c:21,2023-02_138,disabled,None
DAGENSQTSM02,1adf816d-8c6f-4c8c-858f-08bd4b9fcf93,Offline (3 hours),,2024-07-19 05:34:20 +0000 UTC,longoriaadm,Microsoft Windows Server 2019,,172.17.127.100,00:50:56:8f:16:d1,2023-02_138,disabled,None
HOQCRAPPDM01,b83aef8c-15bd-44d8-a174-7f5218cdd5eb,Offline (3 hours),,2024-07-19 05:13:28 +0000 UTC,svc_scomad,Microsoft Windows Server 2012 R2,13.31,172.17.23.91,00:50:56:8a:41:79,2023-02_138,disabled,None
CNGENSQPDM15,129400e4-54b1-4ea5-b096-7783696c75c4,Offline (3 hours),,2024-07-19 05:40:03 +0000 UTC,svc_scmadm,Microsoft Windows Server 2016,13.31,172.20.38.14,00:50:56:9c:73:29,2023-02_138,disabled,None
DAEPMASDVM33,c39baf11-8429-43d9-8b08-a536972f2380,Offline (3 hours),,2024-07-19 05:17:59 +0000 UTC,rawlinsgadm,Microsoft Windows Server 2019,13.31,172.17.127.94,00:50:56:8f:05:ba,2023-02_138,disabled,None
